Epoch 0, Time: 2.80s, Loss: -0.0097
Epoch 100, Time: 38.71s, Loss: -4.0088
Epoch 200, Time: 38.74s, Loss: -1.5354
Epoch 300, Time: 38.69s, Loss: -0.4149
Epoch 400, Time: 38.74s, Loss: -0.4802
Epoch 500, Time: 38.66s, Loss: -0.4078
Epoch 600, Time: 38.65s, Loss: -0.1215
Epoch 700, Time: 38.67s, Loss: -0.1354
Epoch 800, Time: 38.68s, Loss: -0.0000
Epoch 900, Time: 38.66s, Loss: -0.0000
Epoch 1000, Time: 38.69s, Loss: -0.0855
Epoch 1100, Time: 38.68s, Loss: -0.0000
Epoch 1200, Time: 38.68s, Loss: -0.0000
Epoch 1300, Time: 38.69s, Loss: -0.0000
Epoch 1400, Time: 38.72s, Loss: -0.0000
Epoch 1500, Time: 38.67s, Loss: -0.0000
Epoch 1600, Time: 38.66s, Loss: -0.0000
Epoch 1700, Time: 38.65s, Loss: -0.0000
Epoch 1800, Time: 38.67s, Loss: -0.0000
Epoch 1900, Time: 38.66s, Loss: -0.0000
Epoch 2000, Time: 38.68s, Loss: -0.0000
Epoch 2100, Time: 38.64s, Loss: -0.0000
Epoch 2200, Time: 38.62s, Loss: -0.0000
Epoch 2300, Time: 38.64s, Loss: -0.1353
Epoch 2400, Time: 38.66s, Loss: -0.0000
Epoch 2500, Time: 38.61s, Loss: -0.0000
Epoch 2600, Time: 38.60s, Loss: 0.0000
Epoch 2700, Time: 38.62s, Loss: 0.0000
Epoch 2800, Time: 38.63s, Loss: -0.0000
Epoch 2900, Time: 38.62s, Loss: -0.0000
Epoch 3000, Time: 38.60s, Loss: -0.0000
Epoch 3100, Time: 38.65s, Loss: -0.0000
Epoch 3200, Time: 38.64s, Loss: -0.1570
Epoch 3300, Time: 38.64s, Loss: -0.0000
Epoch 3400, Time: 38.63s, Loss: -0.0000
Epoch 3500, Time: 38.63s, Loss: -0.0000
Epoch 3600, Time: 38.63s, Loss: -0.0000
Epoch 3700, Time: 38.62s, Loss: -0.0000
Epoch 3800, Time: 38.62s, Loss: -0.0000
Epoch 3900, Time: 38.61s, Loss: -0.0000
Epoch 4000, Time: 38.64s, Loss: 0.0000
Epoch 4100, Time: 38.62s, Loss: 0.0000
Epoch 4200, Time: 38.63s, Loss: 0.0000
Epoch 4300, Time: 38.61s, Loss: 0.0000
Epoch 4400, Time: 38.63s, Loss: 0.0000
Epoch 4500, Time: 38.61s, Loss: 0.0000
Epoch 4600, Time: 38.63s, Loss: 0.0000
Epoch 4700, Time: 38.62s, Loss: 0.0000
Epoch 4800, Time: 38.62s, Loss: 0.0000
Epoch 4900, Time: 38.63s, Loss: 0.0000
Epoch 5000, Time: 38.63s, Loss: 0.0000
Epoch 5100, Time: 38.62s, Loss: 0.0000
Epoch 5200, Time: 38.62s, Loss: 0.0000
Epoch 5300, Time: 38.62s, Loss: 0.0000
Epoch 5400, Time: 38.68s, Loss: 0.0000
Epoch 5500, Time: 38.62s, Loss: 0.0000
Epoch 5600, Time: 38.62s, Loss: 0.0000
Epoch 5700, Time: 38.63s, Loss: 0.0000
Epoch 5800, Time: 38.64s, Loss: 0.0000
Epoch 5900, Time: 38.62s, Loss: 0.0000
Epoch 6000, Time: 38.65s, Loss: 0.0000
Epoch 6100, Time: 38.64s, Loss: 0.0000
Epoch 6200, Time: 38.63s, Loss: 0.0000
Epoch 6300, Time: 38.63s, Loss: 0.0000
Epoch 6400, Time: 38.62s, Loss: 0.0000
Epoch 6500, Time: 38.62s, Loss: 0.0000
Epoch 6600, Time: 38.62s, Loss: 0.0000
Epoch 6700, Time: 38.62s, Loss: 0.0000
Epoch 6800, Time: 38.63s, Loss: 0.0000
Epoch 6900, Time: 38.61s, Loss: 0.0000
Epoch 7000, Time: 38.61s, Loss: 0.0000
Epoch 7100, Time: 38.61s, Loss: 0.0000
Epoch 7200, Time: 38.62s, Loss: 0.0000
Epoch 7300, Time: 38.61s, Loss: 0.0000
Epoch 7400, Time: 38.61s, Loss: 0.0000
Epoch 7500, Time: 38.62s, Loss: 0.0000
Epoch 7600, Time: 38.61s, Loss: 0.0000
Epoch 7700, Time: 38.64s, Loss: 0.0000
Epoch 7800, Time: 38.63s, Loss: 0.0000
Epoch 7900, Time: 38.65s, Loss: 0.0000
Epoch 8000, Time: 38.67s, Loss: 0.0000
Epoch 8100, Time: 38.60s, Loss: 0.0000
Epoch 8200, Time: 38.62s, Loss: 0.0000
Epoch 8300, Time: 38.66s, Loss: 0.0000
Epoch 8400, Time: 38.64s, Loss: 0.0000
Epoch 8500, Time: 38.61s, Loss: 0.0000
Epoch 8600, Time: 38.63s, Loss: 0.0000
Epoch 8700, Time: 38.63s, Loss: 0.0000
Epoch 8800, Time: 38.63s, Loss: 0.0000
Epoch 8900, Time: 38.64s, Loss: 0.0000
Epoch 9000, Time: 38.67s, Loss: 0.0000
Epoch 9100, Time: 38.63s, Loss: 0.0000
Epoch 9200, Time: 38.64s, Loss: 0.0000
Epoch 9300, Time: 38.63s, Loss: 0.0000
Epoch 9400, Time: 38.63s, Loss: 0.0000
Epoch 9500, Time: 38.62s, Loss: 0.0000
Epoch 9600, Time: 38.64s, Loss: 0.0000
Epoch 9700, Time: 38.63s, Loss: 0.0000
Epoch 9800, Time: 38.63s, Loss: 0.0000
Epoch 9900, Time: 38.67s, Loss: 0.0000
